,sup-norm error,a1,b1,c1,a2,b2,c2,a3,b3,c3
None,1.9368422569447423,1.031709355740856,25.010574572113764,-0.002437013694447849,1.055735216758477,56.34371699431606,-0.002365850552764977,0.2549682920781562,110.18100966877779,0.2717844994169369
Nelder-Mead,0.9599665286891335,0.8844200122073205,24.850345425351225,-0.00725083734290654,1.051470080830342,56.6104293226943,-0.33222947108364054,0.7265967954026722,125.5818351386522,0.39974847068678354
Powell,1.8890204219153934,1.0046842688235136,24.96910851122463,-0.0038921858344700124,-1.0738121526608455,56.639259730191334,-0.27651852536851845,0.24561601522112886,110.2044981742184,-8.223332233395096
